,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
temperature_2m_mean__peak_14d,0.11200711780375983,0.03750748536905296,-0.013978741614172115,0.05072483219103668,0.0035107462876141503,-0.03652781250748589,0.05142852592439469,-0.023047519146567313,-0.09508044323628372,-0.03376965337335513,0.013260607671660313,-0.04354068998353822,0.049155366528358335,0.005851698348848244,-0.09288384774320124,-0.027951296952516552,-0.04718029821202602,0.13634699516272084,0.07137928734057694,-0.0657057452096314
apparent_temperature_max__day1,0.11358909034485921,-0.006400867950845557,-0.02271464631466402,0.01268800086563845,-0.006707077427429721,-0.03273193427163524,0.021103162487838504,-0.07812548274809976,0.10162234243381499,0.09039852312666201,-0.05657895132688513,0.04547241051670537,0.017628559207978733,0.03314453030414015,0.11433078097777447,0.012784598014405207,0.07415628079524816,0.0205629617176952,-0.052558639108073124,-0.017690088813311022
apparent_temperature_max__mean_2d,0.11513437180800007,-0.0020117795897983976,-0.022888095309560864,0.020515638740355554,0.015617250463373433,-0.03665760739771525,0.02388376030089087,-0.06989659552403713,0.09061085744387826,0.0902909755941919,-0.043865383560374456,0.024658626783482643,0.020694469429286155,0.03340538893766781,0.11365770249748997,0.023048800919123064,0.07030329695372976,-0.010697979259581852,-0.015478315284417246,-0.002415664979826121
apparent_temperature_max__mean_3d,0.11618157395798598,0.0013206904676986663,-0.021632869949385108,0.02504906062272549,0.028676552226287653,-0.037476985412187656,0.026722318574518244,-0.059511260557757246,0.07196498309676118,0.06596353370707227,-0.02771929742918789,0.00782358200007096,0.024236795720028015,0.015923235750519404,0.0974422247679842,0.02053595310436014,0.0441686567567767,-0.02564002168300611,-0.003839795980413896,0.017885683600676106
apparent_temperature_max__mean_7d,0.11743962261730523,0.011015752982404838,-0.017787581116790817,0.038474018792265315,0.029875879742746313,-0.03109288684374606,0.02857475186210329,-0.026905610070200106,-0.020237333876849013,-0.011469284865130238,-0.0047571661777773555,-0.035598829395563567,0.013819114424652765,-0.008684175012298165,0.020687845105496806,0.0344411616731955,-0.04450375966363431,-0.01013671183048312,-0.011523677205710847,0.05572221272756084
apparent_temperature_max__mean_13d,0.11566186441984705,0.02112071943099034,-0.02203150361623425,0.04961952910603778,0.018966177687785097,-0.03185379303804823,0.029969570665756284,-0.0162771345841847,-0.09461786305275648,-0.04233160592219415,0.022369892305907607,-0.026289259919975532,0.016381573964965947,0.014092174725774148,-0.05681555961231191,-0.01708249775021875,-0.07446713062967797,0.03495838875070206,-0.010560244996672363,0.06556330475530708
apparent_temperature_max__peak_7d,0.11632824628420094,0.015362357725984828,-0.015044984741646474,0.03134143452941444,0.02298016304350572,-0.007335883068385824,0.03065429237980525,-0.02172396787029771,-0.03077630276206947,-0.0412931047849762,-0.02189756509145538,-0.04859225050157286,0.04980160336710185,0.007892073788565199,-0.0005428010686924353,0.04367083693018303,-0.034728765165325304,0.03068435413177593,-0.02321963609380212,-0.020713723124987926
apparent_temperature_max__peak_14d,0.11416530535469145,0.029265614037773207,-0.013932257806135844,0.035335106991294225,0.010543213917106406,-0.022783122267330407,0.035503325223820645,-0.006554016031061979,-0.08325365033104609,-0.053279413338568914,0.01885545682272192,-0.06825566371307094,0.032126758433113356,0.018345760057363936,-0.07042508773668768,-0.01544130935986654,-0.038437706195477706,0.12283466833360515,0.001756883139391957,-0.0054776520049981126
apparent_temperature_min__day1,0.11011103954536658,0.03606007854055428,-0.03332695833192158,0.04116591493218163,0.030581647778438293,-0.05706564168536199,0.06952380033187328,-0.08831543147424432,0.09658898135035367,0.08261177591343873,-0.03145354140417558,0.0709432476295561,-0.02841791240892398,-0.0033797720726570267,0.017322349528278883,0.04960826819803388,0.11080187300658342,-0.027399861164119577,-0.002573771138810351,0.004668953165178569
apparent_temperature_min__mean_2d,0.11181721455248676,0.03540517775855591,-0.03125990186326064,0.04595493878069516,0.03762190248684021,-0.06256847394772876,0.06774112233112718,-0.0756653942740249,0.06993508804709203,0.05916412501270639,-0.03156855457964601,0.052388109318004195,-0.02752084792739914,-0.032094363773158295,0.029212675566804538,0.035993634094477756,0.06528659072786124,-0.058021988505425115,0.011948970626163541,0.02092945837107882
apparent_temperature_min__mean_3d,0.11271143131834216,0.03684049647727484,-0.030829778801398127,0.05089376292526177,0.03642358729037744,-0.06417133732683555,0.058641038950774056,-0.06585998432795163,0.0389532364989366,0.034728121962817465,-0.022810292364341796,0.036282342470726606,-0.024479479618239815,-0.04181606343372439,0.02935162687586248,0.018843267537973177,0.01456317026287008,-0.06648828664020145,0.005819807064167126,0.029722315457819393
