,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
apparent_temperature_mean__peak_14d,0.11285793631254001,0.03774276768900859,-0.025997373687355562,0.04781135101868221,0.0029360194346052066,-0.036451832912617096,0.04855493173798607,-0.017697446399318476,-0.08850553260563726,-0.04268493397527859,0.020824168460869236,-0.04318039811400896,0.03039172092822019,0.004513870413567049,-0.08678073321150233,-0.032835648975671185,-0.06384358380677894,0.12529635106917397,0.03278971249385336,-0.047420708613634864
daylight_duration__day1,0.11053360202799369,-0.011026887895423174,0.023573714281155504,-0.09519836214999108,-0.026969995334695424,0.10648416032268304,-0.03960296558381129,0.06011321196616059,0.00895803027561307,0.010725615710650801,0.031496543170303995,0.029506803158058363,-0.07161789315524628,-0.04049904784261465,-0.07359232611858968,-0.0051671426328777316,0.050154620810078245,-0.034981606432640776,-0.026894606378727537,-0.005243532714279182
daylight_duration__mean_2d,0.11084479466401109,-0.010502534472982982,0.022742234482502306,-0.09375023513852973,-0.02690931357692871,0.10477101245627447,-0.03893634015276767,0.05940264633647175,0.007897371476687287,0.010551971724620215,0.03209105385117547,0.02876176647624368,-0.07126856475036071,-0.040085789922455775,-0.07427996227700986,-0.006057024588324042,0.04894945317251432,-0.03374503966983941,-0.0275728549970983,-0.0052635861738289
daylight_duration__mean_3d,0.11114850420823352,-0.00997768140304116,0.021909116962183083,-0.09229523381612996,-0.02684637328990558,0.1030499577395819,-0.03826460125778203,0.058691201974100014,0.006838365744974521,0.01037774608951978,0.032683253058718206,0.02801834532960389,-0.07091450979110378,-0.03966689729120489,-0.074956938450348,-0.006945483751223475,0.04773908121956647,-0.03250669751930084,-0.02825087505642991,-0.005284003593812862
daylight_duration__mean_7d,0.11228757353713095,-0.00787378300328891,0.01856278866385555,-0.0864111223613719,-0.026573313523514698,0.09609466270784578,-0.03552764297935471,0.05584153155186417,0.0026167389056423315,0.009680636561560395,0.035029430637880304,0.025067536001040506,-0.06945133328150785,-0.03793572027666697,-0.0775734917474788,-0.0104826718936268,0.04283090440032132,-0.027538930798319504,-0.030955096976518215,-0.005373943528310277
daylight_duration__mean_13d,0.11376750639739146,-0.004704163846848976,0.013504649495004465,-0.07740334391581136,-0.026119954206321495,0.08547416627808724,-0.031298156914403845,0.05152674238059493,-0.0036954764855388865,0.00862694218200972,0.03845825247742452,0.020740842755385472,-0.06707885493455522,-0.03518330663285934,-0.08124311187349546,-0.01578241911610513,0.03525613045733404,-0.020064594464054144,-0.034909884749813824,-0.005575365974400082
daylight_duration__peak_7d,0.11222637031189596,-0.00764888630151441,0.018984095696779196,-0.08582613481872257,-0.026581487314502883,0.09649225199438724,-0.03665270601302664,0.055209454473513296,0.0013978567792935178,0.009359212230965322,0.03617869307762264,0.022592087984774405,-0.06815772305908177,-0.036682689848415544,-0.07855782314009452,-0.009405025600862814,0.04295328088332714,-0.023694041563139884,-0.031752201769297626,-0.001466881582176424
daylight_duration__peak_14d,0.11374836501601643,-0.003928057567357399,0.013402080876913396,-0.07482702329872709,-0.02583081138877063,0.08427104620079374,-0.03366982926472278,0.04945836283459448,-0.006935797386686853,0.007364763866777147,0.041820941614069906,0.014672492235062557,-0.06401045535319616,-0.03194322170702748,-0.083611704684051,-0.013433748905430922,0.034321700007548694,-0.010541919464612384,-0.03768120391271852,0.004314125419012339
sunshine_duration__day1,0.08124172603120053,-0.07707191054622423,0.0641339634394139,-0.06798385415174203,-0.12316811272475968,0.0133311674747466,-0.08508577367996337,0.03671310135564578,0.045048227973774675,-0.10340288237146804,-0.1017714051403343,-0.035480026261627974,0.05255898985848377,-0.015068936782771986,0.3068931450825944,-0.01001756656714431,-0.276329032041654,0.17780069630173084,-0.03918940678564764,-0.06086668754164131
sunshine_duration__mean_2d,0.09059044126666967,-0.08362151859673708,0.059753538492615374,-0.0714099995259655,-0.10291598145461417,0.01727717842536894,-0.10221445902830928,0.0323077524401787,0.04758301847864024,-0.010391360547131363,-0.031246064943826184,-0.06488165035893964,0.04685261506466372,0.100109295071381,0.2501846239661657,-0.021571834573001675,-0.21189548332570934,0.1471649569234987,0.0237065186648556,0.011703115217653166
