model,feature_block,fold,class_label,precision,recall,f1,support
hist_gb,environmental_only,2,acute gastroenteritis,0.38461538461538464,0.4166666666666667,0.4,12
hist_gb,environmental_only,2,acute pancreatitis,0.41379310344827586,0.48,0.4444444444444444,25
hist_gb,environmental_only,2,parvovirus enteritis,0.4,0.25,0.3076923076923077,8
hist_gb,environmental_only,3,acute flare-up of triaditis/chronic enteropathy,0.4444444444444444,0.4444444444444444,0.4444444444444444,18
hist_gb,environmental_only,3,acute gastroenteritis,0.2857142857142857,0.3333333333333333,0.3076923076923077,12
hist_gb,environmental_only,3,acute pancreatitis,0.4074074074074074,0.44,0.4230769230769231,25
hist_gb,environmental_only,3,parvovirus enteritis,0.25,0.125,0.16666666666666666,8
hist_gb,environmental_only,4,acute flare-up of triaditis/chronic enteropathy,0.3888888888888889,0.3888888888888889,0.3888888888888889,18
hist_gb,environmental_only,4,acute gastroenteritis,0.375,0.25,0.3,12
hist_gb,environmental_only,4,acute pancreatitis,0.39285714285714285,0.44,0.41509433962264153,25
hist_gb,environmental_only,4,parvovirus enteritis,0.2222222222222222,0.25,0.23529411764705882,8
hist_gb,environmental_only,5,acute flare-up of triaditis/chronic enteropathy,0.2631578947368421,0.2777777777777778,0.2702702702702703,18
hist_gb,environmental_only,5,acute gastroenteritis,0.3076923076923077,0.3333333333333333,0.32,12
hist_gb,environmental_only,5,acute pancreatitis,0.3181818181818182,0.2916666666666667,0.30434782608695654,24
hist_gb,environmental_only,5,parvovirus enteritis,0.3333333333333333,0.3333333333333333,0.3333333333333333,9
random_forest,combined,1,acute flare-up of triaditis/chronic enteropathy,0.0,0.0,0.0,18
random_forest,combined,1,acute gastroenteritis,0.6363636363636364,0.5833333333333334,0.6086956521739131,12
random_forest,combined,1,acute pancreatitis,0.46511627906976744,0.8,0.5882352941176471,25
random_forest,combined,1,parvovirus enteritis,0.8,0.5,0.6153846153846154,8
random_forest,combined,2,acute flare-up of triaditis/chronic enteropathy,0.4,0.1111111111111111,0.17391304347826086,18
random_forest,combined,2,acute gastroenteritis,0.5454545454545454,0.5,0.5217391304347826,12
random_forest,combined,2,acute pancreatitis,0.5365853658536586,0.88,0.6666666666666666,25
random_forest,combined,2,parvovirus enteritis,0.8333333333333334,0.625,0.7142857142857143,8
random_forest,combined,3,acute flare-up of triaditis/chronic enteropathy,0.42857142857142855,0.16666666666666666,0.24,18
random_forest,combined,3,acute gastroenteritis,0.6363636363636364,0.5833333333333334,0.6086956521739131,12
random_forest,combined,3,acute pancreatitis,0.5555555555555556,0.8,0.6557377049180327,25
random_forest,combined,3,parvovirus enteritis,0.8888888888888888,1.0,0.9411764705882353,8
random_forest,combined,4,acute flare-up of triaditis/chronic enteropathy,0.5,0.16666666666666666,0.25,18
random_forest,combined,4,acute gastroenteritis,0.4,0.3333333333333333,0.36363636363636365,12
random_forest,combined,4,acute pancreatitis,0.45,0.72,0.5538461538461539,25
random_forest,combined,4,parvovirus enteritis,0.7142857142857143,0.625,0.6666666666666666,8
random_forest,combined,5,acute flare-up of triaditis/chronic enteropathy,0.6666666666666666,0.1111111111111111,0.19047619047619047,18
random_forest,combined,5,acute gastroenteritis,0.42857142857142855,0.5,0.46153846153846156,12
random_forest,combined,5,acute pancreatitis,0.5121951219512195,0.875,0.6461538461538462,24
random_forest,combined,5,parvovirus enteritis,1.0,0.5555555555555556,0.7142857142857143,9
logistic_ovr,combined,1,acute flare-up of triaditis/chronic enteropathy,0.3181818181818182,0.3888888888888889,0.35,18
logistic_ovr,combined,1,acute gastroenteritis,0.5833333333333334,0.5833333333333334,0.5833333333333334,12
logistic_ovr,combined,1,acute pancreatitis,0.5,0.44,0.46808510638297873,25
logistic_ovr,combined,1,parvovirus enteritis,0.8571428571428571,0.75,0.8,8
logistic_ovr,combined,2,acute flare-up of triaditis/chronic enteropathy,0.47058823529411764,0.4444444444444444,0.45714285714285713,18
logistic_ovr,combined,2,acute gastroenteritis,0.6,0.5,0.5454545454545454,12
logistic_ovr,combined,2,acute pancreatitis,0.6206896551724138,0.72,0.6666666666666666,25
logistic_ovr,combined,2,parvovirus enteritis,0.8571428571428571,0.75,0.8,8
logistic_ovr,combined,3,acute flare-up of triaditis/chronic enteropathy,0.4,0.3333333333333333,0.36363636363636365,18
logistic_ovr,combined,3,acute gastroenteritis,0.5333333333333333,0.6666666666666666,0.5925925925925926,12
logistic_ovr,combined,3,acute pancreatitis,0.6086956521739131,0.56,0.5833333333333334,25
logistic_ovr,combined,3,parvovirus enteritis,0.7,0.875,0.7777777777777778,8
logistic_ovr,combined,4,acute flare-up of triaditis/chronic enteropathy,0.35294117647058826,0.3333333333333333,0.34285714285714286,18
logistic_ovr,combined,4,acute gastroenteritis,0.6363636363636364,0.5833333333333334,0.6086956521739131,12
logistic_ovr,combined,4,acute pancreatitis,0.48148148148148145,0.52,0.5,25
logistic_ovr,combined,4,parvovirus enteritis,1.0,1.0,1.0,8
logistic_ovr,combined,5,acute flare-up of triaditis/chronic enteropathy,0.4166666666666667,0.2777777777777778,0.3333333333333333,18
logistic_ovr,combined,5,acute gastroenteritis,0.47058823529411764,0.6666666666666666,0.5517241379310345,12
logistic_ovr,combined,5,acute pancreatitis,0.4166666666666667,0.4166666666666667,0.4166666666666667,24
logistic_ovr,combined,5,parvovirus enteritis,0.7,0.7777777777777778,0.7368421052631579,9
hist_gb,combined,1,acute flare-up of triaditis/chronic enteropathy,0.35,0.3888888888888889,0.3684210526315789,18
hist_gb,combined,1,acute gastroenteritis,0.8888888888888888,0.6666666666666666,0.7619047619047619,12
hist_gb,combined,1,acute pancreatitis,0.48148148148148145,0.52,0.5,25
hist_gb,combined,1,parvovirus enteritis,0.8571428571428571,0.75,0.8,8
hist_gb,combined,2,acute flare-up of triaditis/chronic enteropathy,0.5833333333333334,0.3888888888888889,0.4666666666666667,18
hist_gb,combined,2,acute gastroenteritis,0.875,0.5833333333333334,0.7,12
hist_gb,combined,2,acute pancreatitis,0.5,0.72,0.5901639344262295,25
hist_gb,combined,2,parvovirus enteritis,0.7142857142857143,0.625,0.6666666666666666,8
hist_gb,combined,3,acute flare-up of triaditis/chronic enteropathy,0.5,0.4444444444444444,0.47058823529411764,18
hist_gb,combined,3,acute gastroenteritis,0.7692307692307693,0.8333333333333334,0.8,12
hist_gb,combined,3,acute pancreatitis,0.64,0.64,0.64,25
hist_gb,combined,3,parvovirus enteritis,0.8888888888888888,1.0,0.9411764705882353,8
hist_gb,combined,4,acute flare-up of triaditis/chronic enteropathy,0.4117647058823529,0.3888888888888889,0.4,18
hist_gb,combined,4,acute gastroenteritis,0.75,0.5,0.6,12
hist_gb,combined,4,acute pancreatitis,0.41379310344827586,0.48,0.4444444444444444,25
hist_gb,combined,4,parvovirus enteritis,0.5555555555555556,0.625,0.5882352941176471,8
hist_gb,combined,5,acute flare-up of triaditis/chronic enteropathy,0.47058823529411764,0.4444444444444444,0.45714285714285713,18
hist_gb,combined,5,acute gastroenteritis,0.8181818181818182,0.75,0.782608695652174,12
hist_gb,combined,5,acute pancreatitis,0.56,0.5833333333333334,0.5714285714285714,24
hist_gb,combined,5,parvovirus enteritis,0.7,0.7777777777777778,0.7368421052631579,9
