block,pc,rank,feature,loading_signed,loading_abs
combined,PC8,9,altitude (MASL),0.2045331802298877,0.2045331802298877
combined,PC8,10,initial hematocrit,-0.17932437591354639,0.17932437591354639
combined,PC8,11,snowfall_sum__day1,0.16914842902990357,0.16914842902990357
combined,PC8,12,BUN concentration,-0.16889230033733388,0.16889230033733388
combined,PC8,13,moon_phase_cos,0.16081039245301879,0.16081039245301879
combined,PC8,14,wind_direction_10m_dominant__mean_7d,0.16070926311497788,0.16070926311497788
combined,PC8,15,wind_direction_10m_dominant__mean_13d,0.154775543889083,0.154775543889083
combined,PC8,16,precipitation_hours__peak_7d,-0.15358284646155151,0.15358284646155151
combined,PC8,17,snowfall_sum__mean_2d,0.14833908002211924,0.14833908002211924
combined,PC8,18,wind_direction_10m_dominant__day1,0.14740224357086065,0.14740224357086065
combined,PC8,19,daylight_duration__day1,0.14659845279588365,0.14659845279588365
combined,PC8,20,Initial total protein concentration (in g/l),-0.146489437096765,0.146489437096765
combined,PC9,1,Albumin concentration (in g/l),0.4290668798532276,0.4290668798532276
combined,PC9,2,Initial total protein concentration (in g/l),0.38116853192639344,0.38116853192639344
combined,PC9,3,initial hematocrit,0.3555687822280457,0.3555687822280457
combined,PC9,4,BUN concentration,-0.3050634850041706,0.3050634850041706
combined,PC9,5,altitude (MASL),0.2759486832778063,0.2759486832778063
combined,PC9,6,body weight,0.2361194176312812,0.2361194176312812
combined,PC9,7,surface_pressure_max__mean_13d,-0.21955069484023798,0.21955069484023798
combined,PC9,8,CREA concentration ,-0.2089422187057685,0.2089422187057685
combined,PC9,9,surface_pressure_max__day1,-0.1999982483105317,0.1999982483105317
combined,PC9,10,Na value,0.1508888574378075,0.1508888574378075
combined,PC9,11,precipitation_sum__day1,-0.13172705598496093,0.13172705598496093
combined,PC9,12,leukocyte count,-0.1259036289943821,0.1259036289943821
combined,PC9,13,hospitalization time (days),-0.11965914155112717,0.11965914155112717
combined,PC9,14,wind_gusts_10m_max__mean_7d,0.10896249737564656,0.10896249737564656
combined,PC9,15,moon_phase_sin,0.09979074076306757,0.09979074076306757
combined,PC9,16,hospitalization time (days)__missing,0.0943387473654499,0.0943387473654499
combined,PC9,17,lymphocyte count,-0.09173678597386618,0.09173678597386618
combined,PC9,18,precipitation_hours__day1,-0.09081895190936233,0.09081895190936233
combined,PC9,19,wind_direction_10m_dominant__day1,-0.09034344365284051,0.09034344365284051
combined,PC9,20,wind_gusts_10m_max__mean_13d,0.08820684342225892,0.08820684342225892
combined,PC10,1,Na value,0.4217380098557937,0.4217380098557937
combined,PC10,2,Cl value,0.3630510794246027,0.3630510794246027
combined,PC10,3,leukocyte count,0.34179771562965544,0.34179771562965544
combined,PC10,4,neutrophil count (x 10^9/L),0.30066488900337485,0.30066488900337485
combined,PC10,5,daylight_duration__day1,-0.2834553156830227,0.2834553156830227
combined,PC10,6,moon_phase_cos,0.26467746352603777,0.26467746352603777
combined,PC10,7,apparent_temperature_max__day1,-0.2508295683312033,0.2508295683312033
