disease,perm_idx,perm_mean_auc
acute gastroenteritis,56,0.6051622510721857
acute gastroenteritis,57,0.5839111295547584
acute gastroenteritis,58,0.5024104819637627
acute gastroenteritis,59,0.44378114649123057
acute gastroenteritis,60,0.4893013416873854
acute gastroenteritis,61,0.49618977861294644
acute gastroenteritis,62,0.5132103853450505
acute gastroenteritis,63,0.47189338019590127
acute gastroenteritis,64,0.44313495119521307
acute gastroenteritis,65,0.446398942734362
acute gastroenteritis,66,0.5565681026792139
acute gastroenteritis,67,0.4918659845210899
acute gastroenteritis,68,0.5113673306702692
acute gastroenteritis,69,0.4304149418675228
acute gastroenteritis,70,0.5592041939216472
acute gastroenteritis,71,0.5903978243978244
acute gastroenteritis,72,0.5886721453792416
acute gastroenteritis,73,0.40325894270338714
acute gastroenteritis,74,0.5079823330549923
acute gastroenteritis,75,0.4380782627263121
acute gastroenteritis,76,0.484369914287316
acute gastroenteritis,77,0.4725648229194116
acute gastroenteritis,78,0.5579018947646398
acute gastroenteritis,79,0.5307880096628106
acute gastroenteritis,80,0.43166011648404795
acute gastroenteritis,81,0.39470649764485577
acute gastroenteritis,82,0.5121547049154758
acute gastroenteritis,83,0.41301732581144346
acute gastroenteritis,84,0.5616303167482413
acute gastroenteritis,85,0.501136672574581
acute gastroenteritis,86,0.464848100134425
acute gastroenteritis,87,0.5468424225833699
acute gastroenteritis,88,0.43194437426891164
acute gastroenteritis,89,0.47573752777834405
acute gastroenteritis,90,0.4653679098679098
acute gastroenteritis,91,0.5017747818969983
acute gastroenteritis,92,0.5396651634849555
acute gastroenteritis,93,0.557420857446575
acute gastroenteritis,94,0.5513632500619294
acute gastroenteritis,95,0.5272997592470714
acute gastroenteritis,96,0.5673599075597109
acute gastroenteritis,97,0.49469330589378613
acute gastroenteritis,98,0.40806785092238396
acute gastroenteritis,99,0.4657820911513186
acute gastroenteritis,100,0.5065861748678098
acute gastroenteritis,101,0.5836061977238447
acute gastroenteritis,102,0.4880709780428001
acute gastroenteritis,103,0.5610245330800887
acute gastroenteritis,104,0.5344889560575139
acute gastroenteritis,105,0.4706624759939263
acute gastroenteritis,106,0.4839249995903714
acute gastroenteritis,107,0.3913982556185097
acute gastroenteritis,108,0.5197509849164292
acute gastroenteritis,109,0.5340809633084882
acute gastroenteritis,110,0.4718056785981314
acute gastroenteritis,111,0.43603219935993043
acute gastroenteritis,112,0.5219869438569897
acute gastroenteritis,113,0.5513314749255491
acute gastroenteritis,114,0.4305388633956212
acute gastroenteritis,115,0.40216326882993547
acute gastroenteritis,116,0.546718023836396
acute gastroenteritis,117,0.5174646059215673
acute gastroenteritis,118,0.4196098696284601
acute gastroenteritis,119,0.5474579834628868
acute gastroenteritis,120,0.5369005905317034
acute gastroenteritis,121,0.48951923895721566
acute gastroenteritis,122,0.4932600031441862
acute gastroenteritis,123,0.5332861755952766
acute gastroenteritis,124,0.5178263506547852
acute gastroenteritis,125,0.43891621400764624
acute gastroenteritis,126,0.449190893140473
acute gastroenteritis,127,0.47705923459530564
acute gastroenteritis,128,0.5311240526600004
acute gastroenteritis,129,0.462365193286246
acute gastroenteritis,130,0.512545528939146
acute gastroenteritis,131,0.3590212403853378
acute gastroenteritis,132,0.5008391703491819
acute gastroenteritis,133,0.5764788656200002
acute gastroenteritis,134,0.403409380159167
acute gastroenteritis,135,0.4947856861999541
acute gastroenteritis,136,0.5045952327977054
acute gastroenteritis,137,0.5132001479837218
acute gastroenteritis,138,0.41336049116270634
acute gastroenteritis,139,0.46525149921525494
acute gastroenteritis,140,0.3710940593168484
acute gastroenteritis,141,0.44689190548014074
acute gastroenteritis,142,0.4594131278426965
acute gastroenteritis,143,0.5044477966834451
acute gastroenteritis,144,0.4799727067600884
acute gastroenteritis,145,0.49501710718026953
acute gastroenteritis,146,0.41841871515908025
acute gastroenteritis,147,0.5283169820455553
acute gastroenteritis,148,0.41903011959731257
acute gastroenteritis,149,0.4872708057582006
acute gastroenteritis,150,0.3643842533525724
acute gastroenteritis,151,0.46321129318437276
acute gastroenteritis,152,0.5339368995168108
acute gastroenteritis,153,0.4902342428813017
acute gastroenteritis,154,0.5794294795082051
acute gastroenteritis,155,0.4768715197738505
acute gastroenteritis,156,0.45468155860664183
acute gastroenteritis,157,0.380346650555218
acute gastroenteritis,158,0.5002537902359582
acute gastroenteritis,159,0.4383027832965255
acute gastroenteritis,160,0.5693360626925542
acute gastroenteritis,161,0.45819504970498703
acute gastroenteritis,162,0.4812787807985887
acute gastroenteritis,163,0.4575133070211101
acute gastroenteritis,164,0.6328757066240487
acute gastroenteritis,165,0.5623211796139402
acute gastroenteritis,166,0.5675422547704226
acute gastroenteritis,167,0.49672863034460857
acute gastroenteritis,168,0.4287205264722999
acute gastroenteritis,169,0.5518470033733941
acute gastroenteritis,170,0.5252849966623618
acute gastroenteritis,171,0.6248105462791956
acute gastroenteritis,172,0.39560519176223946
acute gastroenteritis,173,0.382494502775035
acute gastroenteritis,174,0.5269322328294219
acute gastroenteritis,175,0.49767424167284113
acute gastroenteritis,176,0.5569880220285326
acute gastroenteritis,177,0.5786451347634503
acute gastroenteritis,178,0.40862438827606445
acute gastroenteritis,179,0.38744671344707104
acute gastroenteritis,180,0.45121024945868654
acute gastroenteritis,181,0.46068782737681363
acute gastroenteritis,182,0.5625442848556056
acute gastroenteritis,183,0.444815333837408
acute gastroenteritis,184,0.4824218479932766
acute gastroenteritis,185,0.4796321591877858
acute gastroenteritis,186,0.524497782726339
acute gastroenteritis,187,0.5392330150996452
acute gastroenteritis,188,0.5236059903238489
acute gastroenteritis,189,0.5771725003312174
acute gastroenteritis,190,0.5551352100055305
acute gastroenteritis,191,0.573824108397938
acute gastroenteritis,192,0.44392759809303445
acute gastroenteritis,193,0.48173875561234764
acute gastroenteritis,194,0.5596623325880217
acute gastroenteritis,195,0.5238172969174288
acute gastroenteritis,196,0.542521034478977
acute gastroenteritis,197,0.4634343434343434
acute gastroenteritis,198,0.5106846323223189
acute gastroenteritis,199,0.5644068695793768
acute gastroenteritis,200,0.5279582409174954
acute pancreatitis,1,0.44604490752595805
acute pancreatitis,2,0.5137319118233803
acute pancreatitis,3,0.4569127743537681
acute pancreatitis,4,0.46615202047732274
acute pancreatitis,5,0.45882570882587015
acute pancreatitis,6,0.45345788139817333
