model,feature_block,class_label,n_folds,precision_mean,precision_std,precision_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,support_mean,support_std
logistic_ovr,environmental_only,acute flare-up of triaditis/chronic enteropathy,5,0.27878787878787875,0.05659666155601402,0.2788 ± 0.0566,0.2666666666666667,0.07243558228002943,0.2667 ± 0.0724,0.2690384615384615,0.05622401510993485,0.2690 ± 0.0562,18.0,0.0
logistic_ovr,environmental_only,acute gastroenteritis,5,0.2636796536796537,0.06102675571072578,0.2637 ± 0.0610,0.3333333333333333,0.05892556509887897,0.3333 ± 0.0589,0.2910178388439258,0.04516719773432672,0.2910 ± 0.0452,12.0,0.0
logistic_ovr,environmental_only,acute pancreatitis,5,0.33534175084175083,0.09177470104936856,0.3353 ± 0.0918,0.299,0.1476651617681029,0.2990 ± 0.1477,0.3123380955911165,0.12238993735552513,0.3123 ± 0.1224,24.8,0.4472135954999579
logistic_ovr,environmental_only,parvovirus enteritis,5,0.3648212898212898,0.051720568795184586,0.3648 ± 0.0517,0.39722222222222225,0.16885142128254593,0.3972 ± 0.1689,0.3628519828984226,0.11614462172359598,0.3629 ± 0.1161,8.2,0.4472135954999579
random_forest,clinical_only,acute flare-up of triaditis/chronic enteropathy,5,0.48311688311688317,0.15139499332556508,0.4831 ± 0.1514,0.2111111111111111,0.04648111258522643,0.2111 ± 0.0465,0.2924562334217507,0.07269176833007651,0.2925 ± 0.0727,18.0,0.0
random_forest,clinical_only,acute gastroenteritis,5,0.5312698412698412,0.11207574464246495,0.5313 ± 0.1121,0.5000000000000001,0.10206207261596578,0.5000 ± 0.1021,0.5124375624375624,0.10052070248405626,0.5124 ± 0.1005,12.0,0.0
random_forest,clinical_only,acute pancreatitis,5,0.5102224121736317,0.05141855213719374,0.5102 ± 0.0514,0.7493333333333333,0.11677138157766037,0.7493 ± 0.1168,0.6055236965057905,0.06988212962780835,0.6055 ± 0.0699,24.8,0.4472135954999579
random_forest,clinical_only,parvovirus enteritis,5,0.7783333333333334,0.08732124598286492,0.7783 ± 0.0873,0.6611111111111111,0.19656580904101967,0.6611 ± 0.1966,0.702045177045177,0.1115325677294776,0.7020 ± 0.1115,8.2,0.4472135954999579
random_forest,combined,acute flare-up of triaditis/chronic enteropathy,5,0.39904761904761904,0.24592829366216237,0.3990 ± 0.2459,0.11111111111111112,0.06804138174397717,0.1111 ± 0.0680,0.17087784679089027,0.10078533277558126,0.1709 ± 0.1008,18.0,0.0
random_forest,combined,acute gastroenteritis,5,0.5293506493506492,0.11186033264400533,0.5294 ± 0.1119,0.5000000000000001,0.10206207261596578,0.5000 ± 0.1021,0.5128610519914869,0.10410256645081918,0.5129 ± 0.1041,12.0,0.0
random_forest,combined,acute pancreatitis,5,0.5038904644860402,0.045317836343679925,0.5039 ± 0.0453,0.8150000000000001,0.06576473218982953,0.8150 ± 0.0658,0.6221279331404692,0.04873826115772084,0.6221 ± 0.0487,24.8,0.4472135954999579
random_forest,combined,parvovirus enteritis,5,0.8473015873015873,0.10626862618886407,0.8473 ± 0.1063,0.6611111111111111,0.19656580904101967,0.6611 ± 0.1966,0.7303598362421891,0.12473625111827144,0.7304 ± 0.1247,8.2,0.4472135954999579
random_forest,environmental_only,acute flare-up of triaditis/chronic enteropathy,5,0.33333333333333337,0.1009933303628402,0.3333 ± 0.1010,0.32222222222222224,0.09938079899999067,0.3222 ± 0.0994,0.3227752639517345,0.08783151349345801,0.3228 ± 0.0878,18.0,0.0
random_forest,environmental_only,acute gastroenteritis,5,0.3607142857142857,0.12511332731248823,0.3607 ± 0.1251,0.2166666666666667,0.07453559924999298,0.2167 ± 0.0745,0.26918964076858815,0.09013478988274218,0.2692 ± 0.0901,12.0,0.0
random_forest,environmental_only,acute pancreatitis,5,0.39325764636109467,0.0326869551026283,0.3933 ± 0.0327,0.5166666666666667,0.09049247973665486,0.5167 ± 0.0905,0.4457115226578372,0.05386537800357859,0.4457 ± 0.0539,24.8,0.4472135954999579
random_forest,environmental_only,parvovirus enteritis,5,0.47222222222222215,0.1712337223046938,0.4722 ± 0.1712,0.3138888888888889,0.1267622689900515,0.3139 ± 0.1268,0.3681096681096681,0.1307394346659892,0.3681 ± 0.1307,8.2,0.4472135954999579
